date,risk_parity,equal_weight
2022-09-15,87702.85761756434,87206.0922577704
2022-09-16,87634.6031722515,87135.54347899687
2022-09-19,88062.39666072388,87723.43991055795
2022-09-20,87473.3375920339,87038.2465742236
2022-09-21,86010.09204722836,85665.49884085543
2022-09-22,85810.60955944052,84974.46272485441
2022-09-23,84573.19430618352,83611.63753851688
2022-09-26,83808.53928163768,82648.85614842092
2022-09-27,83353.04116600787,82468.8311351378
2022-09-28,84328.56932571578,83650.73913473068
2022-09-29,82616.49087834687,81847.40433594635
2022-09-30,81245.70016719808,80535.05514295408
2022-10-03,83209.17878553327,82802.55674332303
2022-10-04,85656.75874846525,85532.00911185534
2022-10-05,85512.97880377641,85549.45762042853
2022-10-06,84548.28027006655,84823.96243283685
2022-10-07,82304.01783226906,82188.96054714847
2022-10-10,81584.48699984523,81271.46691302545
2022-10-11,80978.42156831438,80435.09187459383
2022-10-12,81155.57012841337,80580.26195856383
2022-10-13,83868.92296822742,83534.31760259511
2022-10-14,82750.64024687503,82061.56716200101
2022-10-17,85313.57499018929,84884.98549731946
2022-10-18,86179.75548977587,85837.10653912011
2022-10-19,85905.2755051142,85656.49673824402
2022-10-20,85599.53122252767,85458.62101187633
2022-10-21,87852.95410764236,87778.39113077278
2022-10-24,88707.91322789011,88633.23742282075
2022-10-25,89568.4330548679,89747.76292289908
2022-10-26,89007.01278680924,88891.35481036472
2022-10-27,88839.64437787043,88728.75947617351
2022-10-28,91341.07981591187,91564.79977345777
2022-10-31,90664.03359932768,90771.58467512077
2022-11-01,90655.86750632605,90745.56233425274
2022-11-02,88994.95015506467,88940.3278754565
2022-11-03,88592.04792806659,88395.75637409398
2022-11-04,90131.43019063675,90279.93015909583
2022-11-07,91139.50891586665,91302.20525422992
2022-11-08,91551.62404323772,91796.7517183266
2022-11-09,89755.62143098903,89583.76274282725
2022-11-10,93752.71973679277,94741.80721394315
2022-11-11,94079.08826468489,95709.21577206405
2022-11-14,93839.40112834248,95105.7165411872
2022-11-15,94099.17006095509,95504.72661836303
2022-11-16,93824.2741741371,94813.09750794928
2022-11-17,93833.78441524274,94717.55301329821
2022-11-18,94118.88752218292,94790.87792787275
2022-11-21,93972.87947789345,94489.92725644447
2022-11-22,95307.81487701916,96098.27788500176
2022-11-23,95834.92539771851,96842.6901053672
2022-11-25,95619.75233421264,96466.09029608904
2022-11-28,94267.9598875773,94696.57418899819
2022-11-29,93943.6513077722,94380.77722320537
2022-11-30,96478.28820221688,97572.44368473532
2022-12-01,95970.08915785806,97135.56534689468
2022-12-02,95708.93771840971,96691.58979260267
2022-12-05,94009.0919027323,94838.01767861957
2022-12-06,92446.1772642308,92874.10665882648
2022-12-07,92481.48317609477,92795.22062370383
2022-12-08,93183.68012586926,94021.55814996609
2022-12-09,92652.39705339189,93459.76320962193
2022-12-12,94143.20206989817,95210.47124198006
2022-12-13,94703.92303549827,96063.1212448874
2022-12-14,94322.50132233478,95389.53435464733
2022-12-15,92483.54978734443,93079.1836636125
2022-12-16,91687.31620104761,92095.58835975218
2022-12-19,91607.81396979993,91728.19815393128
2022-12-20,91899.43014871425,91952.03372354204
2022-12-21,93107.28477914091,93336.75742670496
2022-12-22,91937.0379197458,91452.84520924931
2022-12-23,92383.62259550882,91793.80075525837
2022-12-27,92299.86680008277,91048.3498706732
2022-12-28,91655.27013259663,90276.61861859061
2022-12-29,92677.96651050093,91745.69769099973
2022-12-30,92633.49907020023,91774.19612629013
2023-01-03,92345.29813121907,91027.83353434045
2023-01-04,92789.34249382839,91519.00274864845
2023-01-05,91962.24659275205,90602.83082014807
2023-01-06,93631.46497513926,92452.75836393448
2023-01-09,92841.94366135118,92332.27084642049
2023-01-10,93259.08979628836,92994.19096914856
2023-01-11,93770.93779507503,93855.72839844963
2023-01-12,93937.35649570478,94447.57882712441
2023-01-13,94773.91422110639,95476.68495096215
2023-01-17,94489.65911248216,95647.5744827463
2023-01-18,92504.96402378508,93755.5144257619
2023-01-19,91338.56011964806,92568.62287468312
2023-01-20,92406.59645747016,94391.88788542846
2023-01-23,92947.17364878635,95785.82639003539
2023-01-24,93398.41029858562,96291.57115855115
2023-01-25,93546.52498907495,96376.68960498433
2023-01-26,94428.53099153533,97852.18851968159
2023-01-27,94398.31354270139,98121.62630832406
2023-01-30,92820.34640980278,96092.24758861489
2023-01-31,93849.25933804523,97302.0979770562
2023-02-01,94703.8186829365,98682.32158355834
2023-02-02,95419.30733748125,99756.23328253001
2023-02-03,95782.33936267623,99767.56303636606
2023-02-06,95277.93333701069,99292.34247120566
2023-02-07,96637.64952805777,101214.79467330776
2023-02-08,95940.81527402034,100563.76051211104
2023-02-09,94937.7109366666,99680.5261179889
2023-02-10,95359.05698056548,99768.82069005496
2023-02-13,96307.41887182248,100925.57923991767
2023-02-14,96316.52248013459,101367.93126483462
2023-02-15,96092.9265289182,101052.99382095278
2023-02-16,94919.75003740196,99596.74418302666
2023-02-17,94715.25056252482,98973.68424975681
2023-02-21,93189.96628807482,97238.29776860774
2023-02-22,92925.66886118158,96978.71503838124
2023-02-23,93890.79370154177,99030.86731548182
2023-02-24,93242.21421821097,98227.35171707356
2023-02-27,93484.28799919937,98535.94194654093
2023-02-28,93051.50471662638,98044.43773726912
2023-03-01,92609.71994139306,97379.06295936398
2023-03-02,92700.29544306998,97887.89538662351
2023-03-03,94215.72080715568,99662.76038707398
2023-03-06,94440.9657328988,99879.2042452548
2023-03-07,92552.80656875444,98051.16795410731
2023-03-08,92186.46879555346,98099.10980588775
2023-03-09,89725.47732921304,95724.45158089799
2023-03-10,89685.97469807988,95274.67765930927
2023-03-13,88948.66833352392,94841.57734861862
2023-03-14,90224.32219291668,96561.86390881464
2023-03-15,89422.51431119064,95812.07249055339
2023-03-16,90606.30485697501,97599.92859332186
2023-03-17,89200.42825759795,96547.7429293619
2023-03-20,89915.04339336907,97223.80240096363
2023-03-21,91207.42423668235,98728.83643141134
2023-03-22,89692.95269120057,97429.46041319838
2023-03-23,89447.34664517363,97611.5548746205
2023-03-24,89922.72748807441,97932.65003958183
2023-03-27,91055.23943009945,98702.04189199512
2023-03-28,90794.22368376213,98492.02437917537
2023-03-29,91867.05386123456,99875.23339208656
2023-03-30,91960.40356578735,100266.95615415614
2023-03-31,92927.86344682937,101368.7298557574
2023-04-03,93813.17965568694,102454.75115469156
2023-04-04,93615.56888869144,101805.14382280427
2023-04-05,94199.42611739886,101912.46548101473
2023-04-06,94589.22594353397,102294.0952251127
2023-04-10,94182.8925578201,102110.55757967084
2023-04-11,93919.94427473996,102010.22480513301
2023-04-12,93628.41160996057,101558.27278337818
2023-04-13,94800.3571102589,102632.21932501752
2023-04-14,95365.09717007197,103929.3736623823
2023-04-17,95685.61256542953,104487.11240355736
2023-04-18,95705.5880814462,105017.22634001763
2023-04-19,95951.73440599507,105091.11086502424
2023-04-20,95491.81430760412,104356.92210604159
2023-04-21,95911.14854042669,104604.65527211098
2023-04-24,96049.00572811218,104728.90614384909
2023-04-25,95137.74911726206,103170.49799808965
2023-04-26,95324.68941540727,103580.25372058776
2023-04-27,96762.9448726831,105214.71475433678
2023-04-28,97454.06278677219,106182.01816503366
2023-05-01,97608.74487808168,106428.66894624158
2023-05-02,96493.83289848713,104973.88565556098
2023-05-03,95522.58965449716,103791.21931156919
2023-05-04,94534.0040225967,102665.11929240343
2023-05-05,96555.76031945019,105007.05158136251
2023-05-08,96576.92023772723,105115.68638656371
2023-05-09,95833.2526427774,104342.58542839154
2023-05-10,96071.74566224247,104602.24418025982
2023-05-11,95742.81100954156,104118.3140970839
2023-05-12,95464.67057851137,103658.74662371182
2023-05-15,95775.06188812098,104117.11605247535
2023-05-16,95451.99379926088,103750.2847997117
2023-05-17,96742.08120792384,105499.24074437743
2023-05-18,97282.30185914117,106439.00205199534
2023-05-19,97171.23074174323,106220.76846300357
2023-05-22,96327.9377143749,105548.75903446782
2023-05-23,95707.10406575937,104905.47476549841
2023-05-24,95313.80041799262,104489.58342438344
2023-05-25,97520.99701585952,107820.86036646711
2023-05-26,98232.28085605927,108742.80149788616
2023-05-30,98251.45351500137,108927.10439352278
2023-05-31,97114.20178147434,107387.37799340516
2023-06-01,97880.58871170664,108888.28367298654
2023-06-02,99479.7946089937,110430.7596176544
2023-06-05,99373.92153841724,110079.10203312476
2023-06-06,99371.59391179436,110097.47932133859
2023-06-07,99386.70369622683,109764.87451943087
2023-06-08,100078.8688705595,110586.33737362058
2023-06-09,100100.86455567257,110708.51352141185
2023-06-12,100207.05342041078,111083.07950103405
2023-06-13,100637.96479936286,111961.79387299962
2023-06-14,100945.35141181621,112660.93514419174
2023-06-15,102301.77479890981,113917.46432374339
2023-06-16,102150.8085666341,113586.49333727028
2023-06-20,101516.62117082003,113093.89003665086
2023-06-21,101364.5251651973,112670.81422829315
2023-06-22,101635.1574255866,112705.13959697784
2023-06-23,101008.11804931538,111765.20746109012
2023-06-26,100635.80632721349,111191.16854408637
2023-06-27,101242.56824203316,112291.37959020355
2023-06-28,101223.63566671727,112116.4280441599
2023-06-29,102076.77408195224,113005.57233883793
2023-06-30,103357.70131284228,114706.45232959837
2023-07-03,103351.45158327288,114807.22632469509
2023-07-05,102878.48907492995,114300.11051674803
2023-07-06,101879.47716484293,113198.34636682816
2023-07-07,101327.55965636617,112848.4785395732
2023-07-10,101338.32977829997,112744.04462512473
2023-07-11,101638.03925238235,113224.94006117189
2023-07-12,102363.87210361502,114382.98374048783
2023-07-13,102889.59625230814,115382.55682506866
2023-07-14,102594.74888260946,114864.23034583848
2023-07-17,103229.87589323743,115824.76005437528
2023-07-18,104199.2935406917,117330.70547428167
2023-07-19,104670.4896162733,117751.00464299535
2023-07-20,105837.72590148088,118210.8107134473
2023-07-21,106078.65062191906,118076.28810136182
2023-07-24,107091.76866538308,119252.83012958309
2023-07-25,107396.89697741836,119762.30680656797
2023-07-26,107248.04359311522,119363.96086544805
2023-07-27,106643.3969798246,118678.35591340324
2023-07-28,107666.98563332517,119867.54775577829
2023-07-31,107311.92015380196,119782.69253707884
2023-08-01,106987.87057993314,119444.71373898958
2023-08-02,105583.26686441053,117666.82311443682
2023-08-03,105886.0220727968,118154.14772348596
2023-08-04,104537.22554295333,117208.48765260343
2023-08-07,105019.4381124367,118119.11853592588
2023-08-08,104663.19991247772,117501.57414805092
2023-08-09,103733.09103954192,116336.06490425467
2023-08-10,103611.8801277232,116235.33344332593
2023-08-11,103785.21338966538,116309.44399210325
2023-08-14,104461.43051382888,117340.89702957562
2023-08-15,102948.91098862914,115668.5549963109
2023-08-16,102047.2045310297,114569.77194396727
2023-08-17,101590.17490879369,114312.76876168596
2023-08-18,101729.1182078339,114401.6188865995
2023-08-21,102352.42492723481,115365.12508323391
2023-08-22,101602.45671234933,114266.13459240476
2023-08-23,102574.11773508044,115215.10996800622
2023-08-24,101729.74430074148,114490.0959219729
2023-08-25,102181.84137286743,114830.77743411699
2023-08-28,102694.3583995026,115399.1945170989
2023-08-29,104010.10149091764,116943.01396338856
2023-08-30,104506.48966176664,117366.89976154237
2023-08-31,104126.27240373909,116883.01197191664
2023-09-01,104492.71617155783,117217.06219434057
2023-09-05,104112.84164408199,116960.14175673696
2023-09-06,103255.3082730682,115657.3215834587
2023-09-07,102863.92666598187,114849.40107606868
2023-09-08,103206.38546994701,115204.91699204888
2023-09-11,103847.57477760885,115637.0170677978
2023-09-12,103686.08677349771,115714.08640062499
2023-09-13,103889.29087311136,115897.721202966
2023-09-14,104959.09899165925,117006.5662559199
2023-09-15,103658.87443981288,115264.80050045297
2023-09-18,104064.96480781183,115731.11940392248
2023-09-19,103889.65503270245,115477.57609192768
2023-09-20,103055.87619359932,114243.12386355473
2023-09-21,102020.94663897634,112851.50863778942
2023-09-22,101563.1691158751,112541.5630524943
2023-09-25,101732.97996221922,112976.42654808027
2023-09-26,100595.00468614354,111722.2245326937
2023-09-27,100557.4392696554,112047.70518065276
2023-09-28,100722.15590308796,112434.15958325348
2023-09-29,100230.57107808738,111999.06687602722
2023-10-02,100046.9389607439,112069.14754036255
2023-10-03,99052.72850346535,110751.04182232951
2023-10-04,99204.73346616552,110887.28419461194
2023-10-05,99120.41221424,110854.9741967662
2023-10-06,99871.79077961092,111794.46705260158
2023-10-09,100389.01832787199,112467.38111295641
2023-10-10,100945.30986044668,113045.53969737352
2023-10-11,100581.70679746015,112820.5065999537
2023-10-12,100571.47599356642,112827.3248093396
2023-10-13,100810.35220191353,112860.78662804088
2023-10-16,101417.52722181065,113571.57710812893
2023-10-17,101217.26643302284,113133.0619196604
2023-10-18,100668.22453628221,112328.91398415924
2023-10-19,100194.06817178291,111883.23686800268
2023-10-20,99103.75823411523,110485.20621627988
2023-10-23,98612.36551235509,110221.2401112652
2023-10-24,98852.52261621495,110504.95486490653
2023-10-25,98824.93684439505,110235.42724655628
2023-10-26,97788.19067799902,108810.50285030938
2023-10-27,96104.87174217415,107263.4372737409
2023-10-30,97442.30958059871,108765.04062700536
2023-10-31,98153.18180267373,109403.42604231165
2023-11-01,98922.72129790156,110485.95535249944
2023-11-02,100878.6963829695,112898.18349649789
2023-11-03,101464.48383156267,113862.87066114742
2023-11-06,101958.84701129764,114383.70925071112
2023-11-07,101991.73214325662,114389.00411746206
2023-11-08,101985.84246276876,114422.22604600365
2023-11-09,101453.02277318876,113932.05337509341
2023-11-10,102714.58278808644,115500.32376878458
2023-11-13,102731.52656190727,115580.15575213022
2023-11-14,103939.72875064316,117187.17677622988
2023-11-15,104131.2253505628,117267.43930704513
2023-11-16,104894.3069862655,118057.90453188182
2023-11-17,104986.03145637269,118267.0841696917
2023-11-20,105465.64060641591,118969.82146762917
2023-11-21,105114.18815221346,118442.08433983145
2023-11-22,105255.79622451896,118386.0173277609
2023-11-24,105345.14892391066,118330.37660456281
2023-11-27,105120.51307106101,118170.28764823143
2023-11-28,105414.7786844259,118395.38488775503
2023-11-29,105369.67716835544,118443.1727086926
2023-11-30,106066.1625009059,118866.50281170764
2023-12-01,106532.88999616505,119404.97523969527
2023-12-04,106053.84009805691,118598.39437473097
2023-12-05,105698.56437430487,118437.54473538787
2023-12-06,104761.14730760401,117300.41819917511
2023-12-07,105036.91930089827,117762.9350339165
